table_name,row_identifier,dimension,check_id,issue_code,issue_description,severity
lap,lap_id=16353,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16354,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16355,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16356,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16357,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16358,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16359,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16360,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16361,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16362,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16363,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16364,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16365,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16366,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16367,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16368,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16369,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16370,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16371,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16372,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16373,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16374,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16375,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16376,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16377,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16378,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16379,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16380,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16381,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16382,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16383,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16384,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16385,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16386,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16387,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16388,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16389,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
lap,lap_id=16390,Validity,compound_domain,INVALID_VALUE,compound must belong to the expected tyre compound domain when present.,yellow
